run_name,max_logl
mock_1,-1048.026
mock_10,-929.716
mock_12,-1080.296
mock_13,-1086.925
mock_14,-128.179
mock_15,-1437.151
mock_16,-2786.504
mock_17,-11987.954
mock_2,-82.718
mock_3,-940.943
mock_4,-416.276
mock_5,-1005.754
mock_6,-1021.558
mock_7,-1010.304
mock_9,-1046.216
mock_18,-998.899
mock_19,-978.786
mock_20,-1020.167
mock_21,-990.265
mock_22,-1009.807
mock_23,-979.629
mock_24,-994.440
mock_25,-403.730
mock_26,-167.661
mock_27,-211.941
mock_28,-83.526
mock_29,-430.379
mock_30,-2938.477
mock_31,-400.993
mock_32,-2933.283
mock_33,-1005.489
mock_34,-1060.768
mock_35,-982.443
mock_36,-1044.525
mock_37,-962.760
mock_38,-1028.489
mock_39,-1005.020
mismatch_1,-961.536
mismatch_4,-1050.863
mismatch_10,-991.148
mismatch_3,-991.195
mismatch_11,-1003.653
mock_42,-569.881
mock_41,-1596.337
mismatch_6,-5441.490
